sample_id,experiment_type,lcs_case,notes,bleu,rouge1,rouge2,rougeL,reference,candidate
exact_1,exact_match,na,Exact overlap baseline across all metrics.,1.0,1.0,1.0,1.0,The cat sat on the mat and looked outside.,The cat sat on the mat and looked outside.
missing_1,information_missing,na,Coverage drop example with short candidate.,0.03867125098850354,0.5,0.3333333333333333,0.5,The report says quarterly revenue increased by 12 percent with strong growth in cloud services.,The report says revenue increased.
syn_1,synonym_paraphrase,na,Semantic similarity with low lexical overlap.,0.03155984539112946,0.3333333333333333,0.0,0.2222222222222222,The committee approved the proposal after a long discussion.,"After an extended debate, the panel accepted the plan."
stuff_1,keyword_stuffing,na,Keyword repetition to contrast BLEU/ROUGE behavior.,0.22416933501922293,0.6,0.4444444444444444,0.5,The vaccine reduced severe cases in older adults.,vaccine severe older adults vaccine vaccine reduced severe cases adults older vaccine
long_1,long_sequence,na,Long sentence with mostly preserved structure.,0.07858169378184901,0.7586206896551724,0.32142857142857145,0.4137931034482759,"In the final chapter, the author describes how small daily habits compound over years, and explains that consistency matters more than occasional bursts of motivation when building long-term skills.","The author explains in the final chapter that long-term skills come from consistency and small daily habits that compound over many years, not from occasional motivation bursts."
long_2,long_sequence,na,Long sentence compression with partial phrase preservation.,0.0313583590191901,0.6382978723404256,0.22222222222222224,0.5957446808510638,"The engineering team migrated the service in three phases: database replication, read traffic shadowing, and final cutover, while monitoring latency and error rate at each stage.","The team migrated in phases including database replication and shadowing, then cut over while tracking latency and errors during each stage."
lcs_1,rougeL_lcs_behavior,order_preserved,Baseline for LCS: mostly same order and near-contiguous matching.,1.0,1.0,1.0,1.0,The product team launched the beta program for enterprise customers last quarter.,The product team launched the beta program for enterprise customers last quarter.
lcs_2,rougeL_lcs_behavior,gapped_match,Keeps core token order but inserts noise words between matched tokens.,0.18503199561392897,0.888888888888889,0.64,0.888888888888889,The product team launched the beta program for enterprise customers last quarter.,The product team quickly launched the beta pilot program for enterprise premium customers last quarter.
lcs_3,rougeL_lcs_behavior,local_reorder,Swaps nearby phrases to hurt local bigram continuity.,0.4240125351805037,1.0,0.7272727272727273,0.75,The product team launched the beta program for enterprise customers last quarter.,The product team for enterprise customers launched the beta program last quarter.
lcs_4,rougeL_lcs_behavior,global_reorder,Large-scale reorder preserves many words but disrupts overall sequence order.,0.11064054220098625,0.923076923076923,0.5833333333333334,0.23076923076923075,The product team launched the beta program for enterprise customers last quarter.,"Last quarter, for enterprise customers, the beta program was launched by the product team."
