sample_id,bleu,rougeL_f,meteor,bertscore_f1
exact_1,,1.0,0.9985422740524781,
exact_2,,,0.9976851851851852,
lcs_1,,1.0,,
lcs_2,,0.888888888888889,,
lcs_3,,0.75,,
lcs_4,,0.23076923076923075,,
long_1,,0.4137931034482759,,
long_2,,0.5957446808510638,,
missing_1,,0.5,,
noise_1,,,0.8586206896551724,
order_1,,,0.7106481481481481,
s1_exact_match,1.0,,,
s2_word_order_changed,0.0,,,
s3_paraphrase_synonym,0.0,,,
s4_very_short_output,0.0,,,
stem_1,,,0.9985422740524781,
stem_2,,,0.9976851851851852,
stem_3,,,0.996,
stuff_1,,0.5,,
surface_1,,,0.125,
surface_2,,,0.07042253521126761,
syn_1,,0.2222222222222222,0.5260416666666666,
syn_2,,,0.625,
syn_3,,,0.25,
